Hello Captains!!!!!,,,,,,,,,
,,,,,,,,,
Please FORWARD this to your TEAMS – INCLUDING THE NEW MEMBERS I MAY HAVE ADDED!!,,,,,,,,,
,,,,,,,,,
Arrive at 10.30 – Check in at the ADMIN Table to get your name in the random draw,,,,,,,,,
Games start at 11 – SHARP!!  If you don’t show up… you default your game,,,,,,,,,
Lunch will be between 12.30-1.15 – if you do not have a game from 12.15 then start lunch early.,,,,,,,,,
The draw will be done throughout the day.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Cheers Sue,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NI SERVICES BU ANNUAL VOLLEYBALL TOURNAMENT - GAME SCHEDULE,,,,,,,,,
Win = 1 and Loss = 0,,,,,,,,,
,Start,Location,Team,W/L,Score,,Team,W/L,Score
GAME 1,11:00 a.m.,Court 1,Triple Play,,,vs.,Sunsetters,,
Court 2,Writers Block,,,vs.,Git it Over,,,,
Court 3,LS Certified to Route & Serve,,,vs.,Stacked,,,,
Court 4,Angry Birds,,,vs.,DC Spikers,,,,
Court 5,The Garbage Collectors,,,vs.,The Quality Custodians,,,,
Court 6,Dung's Yougins,,,vs.,High CPU,,,,
Court 7,The Cluster Busters,,,vs.,The Bit Bumpers,,,,
Court 8,Kiss my Ace,,,vs.,#1,,,,
GAME 2,11:25 a.m.,Court 1,Tecs on the Beach,,,vs.,Underlay Spiker,,
Court 2,Node is Incompatible,,,vs.,The SA's,,,,
Court 3,High CPU,,,vs.,Team SwAAT,,,,
Court 4,Triple Play,,,vs.,Git it Over,,,,
Court 5,Sunsetters,,,vs.,LS Certified to Route & Serve,,,,
Court 6,Writers Block,,,vs.,Stacked,,,,
Court 7,Angry Birds,,,vs.,"SARve, Set, SP-IXR",,,,
Court 8,DC Spikers,,,vs.,CI/CD Spikeline,,,,
GAME 3,11:50 a.m.,Court 1,The Bit Bumpers,,,vs.,Node is Incompatible,,
Court 2,The Garbage Collectors,,,vs.,Kiss my Ace,,,,
Court 3,The Quality Custodians,,,vs.,#1,,,,
Court 4,"SARve, Set, SP-IXR",,,vs.,Team SwAAT,,,,
Court 5,CI/CD Spikeline,,,vs.,Tecs on the Beach,,,,
Court 6,Dung's Yougins,,,vs.,Underlay Spiker,,,,
Court 7,The Cluster Busters,,,vs.,The SA's,,,,
GAME 4,12:15 PM,Court 1,Sunsetters,,,vs.,The Cluster Busters,,
Court 2,Writers Block,,,vs.,The Bit Bumpers,,,,
Court 3,Git it Over,,,vs.,Kiss my Ace,,,,
Court 4,LS Certified to Route & Serve,,,vs.,#1,,,,
Court 5,Stacked,,,vs.,Angry Birds,,,,
,Court 6,Tecs on the Beach,,,vs.,Node is Incompatible,,,
,Court 7,Underlay Spiker,,,vs.,The SA's,,,
,Court 8,Triple Play,,,vs.,The Quality Custodians,,,
GAME 5,1:15 PM,Court 1,DC Spikers,,,vs.,Team SwAAT,,
Court 2,The Garbage Collectors,,,vs.,High CPU,,,,
Court 3,"SARve, Set, SP-IXR",,,vs.,Dung's Yougins,,,,
Court 4,Angry Birds,,,vs.,CI/CD Spikeline,,,,
,Court 5,Triple Play,,,vs.,Stacked,,,
,Court 6,Sunsetters,,,vs.,Git it Over,,,
,Court 7,Writers Block,,,vs.,LS Certified to Route & Serve,,,
GAME 6,1:40 PM,Court 1,The Quality Custodians,,,vs.,The SA's,,
Court 2,The Bit Bumpers,,,vs.,Team SwAAT,,,,
Court 3,#1,,,vs.,Node is Incompatible,,,,
Court 4,The Cluster Busters,,,vs.,Tecs on the Beach,,,,
Court 5,Kiss my Ace,,,vs.,Underlay Spiker,,,,
Court 6,The Garbage Collectors,,,vs.,Dung's Yougins,,,,
Court 7,"SARve, Set, SP-IXR",,,vs.,CI/CD Spikeline,,,,
Court 8,DC Spikers,,,vs.,High CPU,,,,
,,,,,,,,,
,,,,,,,,,
S,,,,,,,,,
